step,lang_loss,tri_loss,dist_loss,lr,elapsed_s
207,5.623402,0.000000,0.000000,0.00004140,267.4
208,5.598401,0.000000,0.000000,0.00004160,267.8
209,5.917143,0.000000,0.000000,0.00004180,268.1
210,5.918751,0.000000,0.000000,0.00004200,268.5
211,5.795437,0.000000,0.000000,0.00004220,268.8
212,5.624803,0.000000,0.000000,0.00004240,269.1
213,5.783410,0.000000,0.000000,0.00004260,269.5
214,5.852781,0.000000,0.000000,0.00004280,269.8
215,5.867697,0.000000,0.000000,0.00004300,270.2
216,5.891763,0.000000,0.000000,0.00004320,270.5
217,5.732709,0.000000,0.000000,0.00004340,270.9
218,5.597536,0.000000,0.000000,0.00004360,271.2
219,5.943956,0.000000,0.000000,0.00004380,271.5
220,5.610720,0.000000,0.000000,0.00004400,271.9
221,5.714277,0.000000,0.000000,0.00004420,272.2
222,5.849470,0.000000,0.000000,0.00004440,272.6
223,5.647111,0.000000,0.000000,0.00004460,272.9
224,5.903160,0.000000,0.000000,0.00004480,273.2
225,5.953589,0.000000,0.000000,0.00004500,273.6
226,5.627173,0.000000,0.000000,0.00004520,273.9
227,5.900009,0.000000,0.000000,0.00004540,274.3
228,5.826711,0.000000,0.000000,0.00004560,274.6
229,5.889328,0.000000,0.000000,0.00004580,274.9
230,5.736086,0.000000,0.000000,0.00004600,275.3
231,5.366763,0.000000,0.000000,0.00004620,275.6
232,5.944876,0.000000,0.000000,0.00004640,276.0
233,5.621413,0.000000,0.000000,0.00004660,276.3
234,5.618092,0.000000,0.000000,0.00004680,276.6
235,5.841678,0.000000,0.000000,0.00004700,277.0
236,5.712403,0.000000,0.000000,0.00004720,277.3
237,5.807872,0.000000,0.000000,0.00004740,277.7
238,5.717200,0.000000,0.000000,0.00004760,278.0
239,5.919127,0.000000,0.000000,0.00004780,278.3
240,5.379618,0.000000,0.000000,0.00004800,278.7
241,5.905645,0.000000,0.000000,0.00004820,279.0
242,6.029278,0.000000,0.000000,0.00004840,279.4
243,6.034309,0.000000,0.000000,0.00004860,279.7
244,5.727746,0.000000,0.000000,0.00004880,280.1
245,5.873876,0.000000,0.000000,0.00004900,280.4
246,5.794851,0.000000,0.000000,0.00004920,280.7
247,5.656807,0.000000,0.000000,0.00004940,281.1
248,5.676869,0.000000,0.000000,0.00004960,281.4
249,5.854453,0.000000,0.000000,0.00004980,281.8
250,5.950670,0.000000,0.000000,0.00005000,282.1
251,5.738737,0.000000,0.000000,0.00005020,282.4
252,5.810356,0.000000,0.000000,0.00005040,282.8
253,5.618649,0.000000,0.000000,0.00005060,283.1
254,5.928605,0.000000,0.000000,0.00005080,283.5
255,5.542524,0.000000,0.000000,0.00005100,283.8
256,5.747877,0.000000,0.000000,0.00005120,284.1
257,5.602318,0.000000,0.000000,0.00005140,284.5
258,5.779190,0.000000,0.000000,0.00005160,284.8
259,5.572953,0.000000,0.000000,0.00005180,285.2
260,5.588907,0.000000,0.000000,0.00005200,285.5
261,5.893201,0.000000,0.000000,0.00005220,285.8
262,5.568414,0.000000,0.000000,0.00005240,286.2
263,5.706211,0.000000,0.000000,0.00005260,286.5
264,5.754900,0.000000,0.000000,0.00005280,286.9
265,5.867245,0.000000,0.000000,0.00005300,287.2
266,5.697348,0.000000,0.000000,0.00005320,287.5
267,5.547085,0.000000,0.000000,0.00005340,287.9
268,5.592015,0.000000,0.000000,0.00005360,288.2
269,5.663436,0.000000,0.000000,0.00005380,288.6
270,5.940944,0.000000,0.000000,0.00005400,288.9
271,5.489321,0.000000,0.000000,0.00005420,289.2
272,5.724464,0.000000,0.000000,0.00005440,289.6
273,5.666604,0.000000,0.000000,0.00005460,289.9
274,5.427728,0.000000,0.000000,0.00005480,290.3
275,5.549987,0.000000,0.000000,0.00005500,290.6
276,5.971108,0.000000,0.000000,0.00005520,291.0
277,5.802228,0.000000,0.000000,0.00005540,291.3
278,5.356688,0.000000,0.000000,0.00005560,291.6
279,5.657044,0.000000,0.000000,0.00005580,292.0
280,5.626618,0.000000,0.000000,0.00005600,292.3
281,5.601840,0.000000,0.000000,0.00005620,292.6
282,5.639658,0.000000,0.000000,0.00005640,293.0
283,5.774712,0.000000,0.000000,0.00005660,293.3
284,5.496185,0.000000,0.000000,0.00005680,293.7
285,5.507434,0.000000,0.000000,0.00005700,294.0
286,5.681377,0.000000,0.000000,0.00005720,294.4
287,5.599727,0.000000,0.000000,0.00005740,294.7
288,5.637516,0.000000,0.000000,0.00005760,295.0
289,5.397116,0.000000,0.000000,0.00005780,295.4
290,5.539134,0.000000,0.000000,0.00005800,295.7
291,5.673831,0.000000,0.000000,0.00005820,296.1
292,5.439715,0.000000,0.000000,0.00005840,296.4
293,5.646911,0.000000,0.000000,0.00005860,296.7
294,5.649662,0.000000,0.000000,0.00005880,297.1
295,5.584138,0.000000,0.000000,0.00005900,297.4
296,5.590426,0.000000,0.000000,0.00005920,297.8
297,5.544487,0.000000,0.000000,0.00005940,298.1
298,5.600979,0.000000,0.000000,0.00005960,298.5
299,5.783407,0.000000,0.000000,0.00005980,298.8
300,5.787100,0.000000,0.000000,0.00006000,299.1
301,5.688961,0.000000,0.000000,0.00006020,299.5
302,5.542362,0.000000,0.000000,0.00006040,299.8
303,5.731801,0.000000,0.000000,0.00006060,300.2
304,5.472950,0.000000,0.000000,0.00006080,300.5
305,5.909935,0.000000,0.000000,0.00006100,300.8
306,5.790020,0.000000,0.000000,0.00006120,301.2
307,5.672376,0.000000,0.000000,0.00006140,301.5
308,5.569381,0.000000,0.000000,0.00006160,301.8
309,5.553481,0.000000,0.000000,0.00006180,302.2
310,5.515933,0.000000,0.000000,0.00006200,302.5
311,5.802270,0.000000,0.000000,0.00006220,302.9
312,5.808095,0.000000,0.000000,0.00006240,303.2
313,5.681224,0.000000,0.000000,0.00006260,303.6
314,5.868938,0.000000,0.000000,0.00006280,303.9
315,5.622722,0.000000,0.000000,0.00006300,304.2
316,5.635368,0.000000,0.000000,0.00006320,304.6
317,5.598986,0.000000,0.000000,0.00006340,304.9
318,5.620509,0.000000,0.000000,0.00006360,305.3
319,5.861796,0.000000,0.000000,0.00006380,305.6
320,5.605804,0.000000,0.000000,0.00006400,305.9
321,5.584101,0.000000,0.000000,0.00006420,306.3
322,5.662200,0.000000,0.000000,0.00006440,306.6
323,5.457120,0.000000,0.000000,0.00006460,307.0
324,5.620266,0.000000,0.000000,0.00006480,307.3
325,5.446251,0.000000,0.000000,0.00006500,307.7
326,5.489560,0.000000,0.000000,0.00006520,308.0
327,5.349095,0.000000,0.000000,0.00006540,308.3
328,5.730127,0.000000,0.000000,0.00006560,308.7
329,5.528893,0.000000,0.000000,0.00006580,309.0
330,5.532218,0.000000,0.000000,0.00006600,309.3
331,5.720210,0.000000,0.000000,0.00006620,309.7
332,5.498393,0.000000,0.000000,0.00006640,310.0
333,5.660867,0.000000,0.000000,0.00006660,310.4
334,5.572321,0.000000,0.000000,0.00006680,310.7
335,5.485741,0.000000,0.000000,0.00006700,311.1
336,5.619772,0.000000,0.000000,0.00006720,311.4
337,5.538281,0.000000,0.000000,0.00006740,311.7
338,5.595270,0.000000,0.000000,0.00006760,312.1
339,5.474051,0.000000,0.000000,0.00006780,312.4
340,5.421430,0.000000,0.000000,0.00006800,312.8
341,5.531326,0.000000,0.000000,0.00006820,313.1
342,5.415908,0.000000,0.000000,0.00006840,313.4
343,5.791902,0.000000,0.000000,0.00006860,313.8
344,5.200333,0.000000,0.000000,0.00006880,314.1
345,5.424580,0.000000,0.000000,0.00006900,314.5
346,5.304072,0.000000,0.000000,0.00006920,314.8
347,5.576827,0.000000,0.000000,0.00006940,315.1
348,5.557731,0.000000,0.000000,0.00006960,315.5
349,5.714849,0.000000,0.000000,0.00006980,315.8
350,5.567565,0.000000,0.000000,0.00007000,316.2
351,5.481002,0.000000,0.000000,0.00007020,316.5
352,5.684164,0.000000,0.000000,0.00007040,316.9
353,5.422735,0.000000,0.000000,0.00007060,317.2
354,5.707873,0.000000,0.000000,0.00007080,317.5
355,5.437511,0.000000,0.000000,0.00007100,317.9
356,5.622700,0.000000,0.000000,0.00007120,318.2
357,5.372221,0.000000,0.000000,0.00007140,318.6
358,5.583004,0.000000,0.000000,0.00007160,318.9
359,5.421996,0.000000,0.000000,0.00007180,319.2
360,5.493079,0.000000,0.000000,0.00007200,319.6
361,5.547421,0.000000,0.000000,0.00007220,319.9
362,5.431837,0.000000,0.000000,0.00007240,320.3
363,5.513261,0.000000,0.000000,0.00007260,320.6
364,5.561702,0.000000,0.000000,0.00007280,320.9
365,5.232509,0.000000,0.000000,0.00007300,321.3
366,5.526442,0.000000,0.000000,0.00007320,321.6
367,5.394311,0.000000,0.000000,0.00007340,322.0
368,5.531053,0.000000,0.000000,0.00007360,322.3
369,5.516903,0.000000,0.000000,0.00007380,322.6
370,5.531816,0.000000,0.000000,0.00007400,323.0
371,5.307549,0.000000,0.000000,0.00007420,323.3
372,5.487229,0.000000,0.000000,0.00007440,323.7
373,5.310979,0.000000,0.000000,0.00007460,324.0
374,5.441698,0.000000,0.000000,0.00007480,324.4
375,5.341992,0.000000,0.000000,0.00007500,324.7
376,5.462054,0.000000,0.000000,0.00007520,325.0
377,5.403553,0.000000,0.000000,0.00007540,325.4
378,5.449903,0.000000,0.000000,0.00007560,325.7
379,5.490011,0.000000,0.000000,0.00007580,326.1
380,5.493725,0.000000,0.000000,0.00007600,326.4
381,5.645749,0.000000,0.000000,0.00007620,326.7
382,5.582934,0.000000,0.000000,0.00007640,327.1
383,5.638159,0.000000,0.000000,0.00007660,327.4
384,5.563389,0.000000,0.000000,0.00007680,327.8
385,5.829254,0.000000,0.000000,0.00007700,328.1
386,5.520353,0.000000,0.000000,0.00007720,328.4
387,5.405543,0.000000,0.000000,0.00007740,328.8
388,5.637381,0.000000,0.000000,0.00007760,329.1
389,5.359802,0.000000,0.000000,0.00007780,329.5
390,5.471923,0.000000,0.000000,0.00007800,329.8
391,5.481046,0.000000,0.000000,0.00007820,330.1
392,5.715042,0.000000,0.000000,0.00007840,330.5
393,5.612724,0.000000,0.000000,0.00007860,330.8
394,5.477521,0.000000,0.000000,0.00007880,331.2
395,5.567848,0.000000,0.000000,0.00007900,331.5
396,5.624772,0.000000,0.000000,0.00007920,331.9
397,5.272078,0.000000,0.000000,0.00007940,332.2
398,5.505762,0.000000,0.000000,0.00007960,332.5
399,5.422565,0.000000,0.000000,0.00007980,332.9
400,5.696317,0.000000,0.000000,0.00008000,333.2
401,5.336056,0.000000,0.000000,0.00008020,333.5
402,5.440752,0.000000,0.000000,0.00008040,333.9
403,5.444408,0.000000,0.000000,0.00008060,334.2
404,5.407312,0.000000,0.000000,0.00008080,334.6
405,5.415225,0.000000,0.000000,0.00008100,334.9
406,5.424122,0.000000,0.000000,0.00008120,335.3
407,5.701419,0.000000,0.000000,0.00008140,335.6
408,5.632168,0.000000,0.000000,0.00008160,335.9
409,5.395133,0.000000,0.000000,0.00008180,336.3
410,5.289787,0.000000,0.000000,0.00008200,336.6
411,5.478945,0.000000,0.000000,0.00008220,337.0
412,5.411445,0.000000,0.000000,0.00008240,337.3
413,5.559866,0.000000,0.000000,0.00008260,337.6
414,5.509302,0.000000,0.000000,0.00008280,338.0
415,5.471362,0.000000,0.000000,0.00008300,338.3
416,5.298529,0.000000,0.000000,0.00008320,338.7
417,5.479864,0.000000,0.000000,0.00008340,339.0
418,5.413927,0.000000,0.000000,0.00008360,339.4
419,5.357511,0.000000,0.000000,0.00008380,339.7
420,5.543473,0.000000,0.000000,0.00008400,340.0
421,5.818321,0.000000,0.000000,0.00008420,340.4
422,5.442960,0.000000,0.000000,0.00008440,340.7
423,5.336762,0.000000,0.000000,0.00008460,341.1
424,5.281384,0.000000,0.000000,0.00008480,341.4
425,5.629400,0.000000,0.000000,0.00008500,341.7
426,5.397687,0.000000,0.000000,0.00008520,342.1
427,5.624613,0.000000,0.000000,0.00008540,342.4
428,5.237852,0.000000,0.000000,0.00008560,342.8
429,5.579906,0.000000,0.000000,0.00008580,343.1
430,5.503492,0.000000,0.000000,0.00008600,343.4
431,5.573668,0.000000,0.000000,0.00008620,343.8
432,5.411345,0.000000,0.000000,0.00008640,344.1
433,5.420923,0.000000,0.000000,0.00008660,344.5
434,5.488945,0.000000,0.000000,0.00008680,344.8
435,5.409819,0.000000,0.000000,0.00008700,345.2
436,5.596165,0.000000,0.000000,0.00008720,345.5
437,5.412639,0.000000,0.000000,0.00008740,345.8
438,5.596409,0.000000,0.000000,0.00008760,346.2
439,5.446823,0.000000,0.000000,0.00008780,346.5
440,5.537484,0.000000,0.000000,0.00008800,346.8
