sample_id,SMILES,formula,MW,CAS,MA,MA (mean est.),Error,Dataset
Alasdair-300MW/Sample_#9_Stepped_MS3,O=C(O)CCN1CCN(c2ccc(C(F)(F)F)cn2)CC1,C13H16F3N3O2,303.28,1031929-07-3,15,19.81569952057624,4.815699520576239,Alasdair
150523/CAS_364794_79_6,CC1(C)OB(c2ccc(CN3CCOCC3)cc2)OC1(C)C,C17H26BNO3,303.2,364794-79-6,15,17.29471087598619,2.294710875986187,Alasdair
5repeatAllMolecules/57Dimethyl_1,Cc1cc(C)n2c(SCC(=O)O)nnc2n1,C9H10N4O2S,238.052448,41266-71-1,15,14.15981737928598,0.8401826207140175,NatComm
150523/CAS_328028_19_9,NNc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],C10H14N4O5S,302.3,328028-19-9,15,18.96469174936942,3.964691749369418,Alasdair
5repeatAllMolecules/Bis2carbopentyloxy_1,CCCCCOC(=O)c1c(Cl)cc(Cl)c(Cl)c1OC(=O)C(=O)Oc1c(Cl)c(Cl)cc(Cl)c1C(=O)OCCCCC,C26H24Cl6O8,673.960238,75203-51-9,15,44.32241220665678,29.32241220665678,NatComm
5repeatAllMolecules/Flubendazole_1,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,C16H12FN3O3,313.08627,31430-15-6,15,19.98704458035836,4.987044580358365,NatComm
5repeatAllMolecules/L127043_1,COc1ccc(-c2csc(N=Nc3c(O)[nH]c4ccccc34)n2)cc1,C18H14N4O2S,350.083748,,15,22.96088058705212,7.960880587052124,NatComm
5repeatAllMolecules/FMOC_Leu_OH_3,CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,C21H23NO4,353.162709,35661-60-0,15,22.94148596141161,7.941485961411608,NatComm
5repeatAllMolecules/CDS016302_1,Cc1cc(C(F)(F)F)n(-c2nc(CO)cs2)n1,C9H8F3N3OS,263.034018,959582-07-1,15,16.67550040604892,1.675500406048918,NatComm
5repeatAllMolecules/IM12_1,Cc1[nH]c2ccccc2c1C1=C(NCCc2ccc(F)cc2)C(=O)N(C)C1=O,C22H20FN3O2,377.153955,1129669-05-1,15,22.63654525723212,7.636545257232118,NatComm
150523/CAS_89524_98_1,COC(=O)C(NC(=O)OC(C)(C)C)P(=O)(OC)OC,C10H20NO7P,297.24,89524-98-1,14,18.96902973730714,4.969029737307142,Alasdair
150523/CAS_146_77_0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C10H12ClN5O4,301.69,146-77-0,14,19.02792005121654,5.027920051216544,Alasdair
5repeatAllMolecules/Leflunomide_1,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,C12H9F3N2O2,270.061611,75706-12-6,14,14.76825920709798,0.7682592070979801,NatComm
5repeatAllMolecules/Rolipram_1,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,C16H21NO3,275.152144,61413-54-5,14,17.22678864012273,3.226788640122727,NatComm
